ID,Fecha_Venta,Departamento,Ciudad,Categoría,Subcategoría,Nombre_Producto,Precio,Cantidad,Total_Venta,Tipo_Venta,Estado_Producto,Método_Pago,Cliente,Email_Cliente,Teléfono,Entrega,Opinión
4b9891d4-21de-4156-849e-6a8133c4634b,10/3/2025,Montevideo,Paso de Carrasco,Juguetes,Figuras de acción,Superman,86732.23,5.0,433661.15,Particular,Usado,Efectivo,Angélica Río-Capdevila,brudafne@yahoo.com,+34987 895 476,Retiro en local,Mala
d4a5e1f5-0ee2-423c-9571-28a9b6cf7d60,5/1/2025,Canelones,Atlántida,Libros,Novelas,Cien años de soledad,71464.53,6.0,428787.18,Particular,Usado,Tarjeta,Florentina Quiroga Adadia,gibertaurea@hotmail.com,+34 737825415,Retiro en local,Mala
14ef7cd7-4401-44ff-bdfd-2513c74b5789,18/5/2025,Colonia,Colonia del Sacramento,Hogar,Electrodomésticos,Aspiradora Robot,58823.08,8.0,470584.64,Particular,Nuevo,Tarjeta,Roxana Pascual Riba,camarabelen@gmail.com,+34 601643491,Retiro en local,Regular
7910a905-8009-49f2-92e5-193c3aa711f8,1/10/2024,Rivera,Rivera,Belleza,Maquillaje,Labial Rojo,69792.26,6.0,418753.56,Particular,Reacondicionado,Transferencia,Pedro Llorens Gaya,vinicio55@mora-ros.es,+34 835101316,Retiro en local,Excelente
3942180d-f732-4ece-b928-988c1f693dea,1/1/2025,Treinta y Tres,Treinta y Tres,Libros,Infantil,El Principito,19976.08,9.0,179784.72,Tienda oficial,Usado,Cripto,Toni Sales,nilo78@rueda.com,+34 736128789,Envío a domicilio,Mala
e81d9f9f-7e8e-43bf-a22d-932da2da01a7,23/4/2025,Colonia,Juan Lacaze,Libros,Ciencia Ficción,Dune,12246.27,8.0,97970.16,Particular,Nuevo,Efectivo,Florentino Cid Mata,curro85@riba.es,+34701 52 14 18,Retiro en local,Excelente
efa161df-c542-43c3-970c-746e098bf45b,29/11/2024,Treinta y Tres,Vergara,Hogar,Muebles,Sillón Reclinable,42755.56,10.0,427555.6,Tienda oficial,Usado,Cripto,Jacinta Bueno Bou,zapataadan@gmail.com,+34736 054 870,Envío a domicilio,Excelente
9181d0ef-d25a-48c2-a998-596eb5ee8634,9/2/2025,Salto,Salto,Deportes,Ropa Deportiva,Calzas de Running,74294.65,4.0,297178.6,Marketplace,Usado,Tarjeta,Santos Sanmiguel-Pi,nsarmiento@pinilla.com,+34 682704909,Retiro en local,Excelente
011f0656-3e28-4b38-8cda-63721fc95c22,18/1/2025,Rocha,Rocha,Electrónica,Audio,Auriculares Bluetooth,1387.74,4.0,5550.96,Tienda oficial,Nuevo,Tarjeta,Adelina Mendizábal Ortuño,eutropiomariscal@gmail.com,34708103479,Retiro en local,Regular
71c06d88-ec8c-4cc9-83a0-95485c16a295,7/7/2024,Salto,Belén,Deportes,Equipamiento,Pelota de Fútbol,62429.44,3.0,187288.32,Tienda oficial,Reacondicionado,Transferencia,Teresa Cuevas Antúnez,walter01@mas-ribas.es,+34 739821446,Envío a domicilio,Regular
fe67195a-5b8c-4921-a53d-4a5139ff6e68,2/12/2024,Cerro Largo,Melo,Juguetes,Muñecas,Barbie,84760.32,4.0,339041.28,Particular,Nuevo,Transferencia,Ligia Revilla-Saavedra,rafa40@jover-vigil.com,+34 709 375 993,Retiro en local,Excelente
10fa3bf4-209b-4a6b-9219-3d4752c63486,14/9/2024,Canelones,Las Piedras,Hogar,Textiles,Juego de Sábanas,7478.0,10.0,74780.0,Tienda oficial,Reacondicionado,Cripto,Juan Villena Reyes,flanda@gmail.com,+34 711 12 97 93,Envío a domicilio,Mala
97a70136-8caf-41ed-81e9-a1d5d6ee36aa,2/10/2024,Lavalleja,Minas,Juguetes,Vehículos,Coche a Control Remoto,93821.5,6.0,562929.0,Particular,Nuevo,Cripto,Jose Ignacio Arellano Blázquez,canellasroxana@yahoo.com,34906934944,Envío a domicilio,Mala
9cfcf41e-342b-4500-be96-a18f9d7bf41a,24/11/2024,Salto,Constitución,Hogar,Iluminación,Lámpara de Pie,55501.86,2.0,111003.72,Particular,Nuevo,Cripto,Paola de Giner,maurahoyos@ferrandiz.com,+34614 61 11 06,Envío a domicilio,Mala
